NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06679036,"A Trial of HRS-2189 in Combination With Fluvastatin±HRS-6209, or HRS-8080±HRS-6209, or HRS-6209+HRS-1358 in Breast Cancer Patients",https://clinicaltrials.gov/study/NCT06679036,RECRUITING,Advanced Unresectable or Metastatic Breast Cancer,DRUG: HRS-2189|DRUG: Fluvustat|DRUG: HRS-8080|DRUG: HRS-6209|DRUG: HRS-1358,"Shandong Suncadia Medicine Co., Ltd.",,INTERVENTIONAL
NCT04715958,Prediction of Neoadjuvant Chemotherapy Response Using Contrast-Enhanced Ultrasound in Patients With Locally Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT04715958,RECRUITING,Anatomic Stage III Breast Cancer AJCC v8|Locally Advanced Breast Carcinoma,PROCEDURE: Contrast-Enhanced Ultrasound|DRUG: Perflutren Lipid Microspheres|PROCEDURE: Ultrasound,Kibo Nam,National Cancer Institute (NCI),INTERVENTIONAL
NCT06763328,Metformin for the Treatment of Insulin Resistance in Women With Stage I-III Breast Cancer Completing Chemotherapy,https://clinicaltrials.gov/study/NCT06763328,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Invasive Breast Carcinoma,PROCEDURE: Biospecimen Collection|OTHER: Educational Intervention|DRUG: Extended Release Metformin Hydrochloride|OTHER: Questionnaire Administration,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT04084730,Study of 3-Day Partial Breast Radiation Therapy in Women With Breast Cancer,https://clinicaltrials.gov/study/NCT04084730,RECRUITING,"Invasive Ductal Breast Carcinoma|Invasive Ductal Carcinoma, Breast|DCIS|DCIS Grade 1|DCIS Grade 2|Breast Cancer",RADIATION: Accelerated Partial Breast Irradiation,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT06057610,A Phase III Study of SHR-A1811 Injection With or Without Pertuzumab in HER2-Positive Recurrent or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06057610,RECRUITING,HER2-PositiveRecurrent or Metastatic Breast Cancer,DRUG: SHR-A1811 Injection|DRUG: SHR-A1811 Injection ； Pertuzumab Injection|DRUG: Trastuzumab Injection；Pertuzumab Injection ； Docetaxel Injection,"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL
NCT06929325,Sirolimus for Injection (Albumin-bound) Combined With Fulvestrant for HR+/HER2- Advanced/Metastatic Breast Cancer Patients Previously Treated With CDK4/6 Inhibitors,https://clinicaltrials.gov/study/NCT06929325,NOT_YET_RECRUITING,HR+/HER2- Advanced/Metastatic Breast Cancer,DRUG: Sirolimus for Injection (Albumin-bound)|DRUG: Fulvestrant Injection|DRUG: Placebo for Sirolimus for Injection (Albumin-bound),"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,INTERVENTIONAL
NCT06538389,High Cannabidiol Plant Extract (BRC-001) to Improve Aromatase Inhibitor-Induced Arthralgia in Women With Breast Cancer,https://clinicaltrials.gov/study/NCT06538389,RECRUITING,Anatomic Stage 0 Breast Cancer AJCC v8|Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Breast Adenocarcinoma|Breast Ductal Carcinoma In Situ|Estrogen Receptor-Positive Breast Carcinoma|Progesterone Receptor-Positive Breast Carcinoma,PROCEDURE: Biospecimen Collection|DRUG: BRC-001|DRUG: Placebo Administration|OTHER: Questionnaire Administration,City of Hope Medical Center,National Cancer Institute (NCI)|Biopharmaceutical Research Company,INTERVENTIONAL
NCT04986579,Scalp Cooling in MBC,https://clinicaltrials.gov/study/NCT04986579,RECRUITING,Metastatic Breast Cancer|Chemotherapy-induced Alopecia,DEVICE: Paxman Scalp Cooling System|DRUG: Eribulin|DRUG: Sacituzumab govitecan|DRUG: Trastuzumab deruxtecan,Dana-Farber Cancer Institute,Paxman Coolers Limited|AstraZeneca|Eisai Inc.|Daiichi Sankyo|Gilead Sciences,INTERVENTIONAL
NCT05860465,Safety and Efficacy of SPH4336 in Combination With Endocrine Therapy in the Treatment of Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05860465,RECRUITING,Locally Advanced or Metastatic Breast Cancer,DRUG: SPH4336 Tablets|DRUG: SPH4336 Tablets Placebo,"Shanghai Pharmaceuticals Holding Co., Ltd",,INTERVENTIONAL
NCT04273061,Investigating the Effects of Atezolizumab in People Whose Tumour DNA or RNA Indicates Possible Sensitivity,https://clinicaltrials.gov/study/NCT04273061,RECRUITING,Breast Cancer|Lung Cancer|Gastrointestinal Cancer|Genitourinary Cancer|Gynecologic Cancer|Sarcoma|Unknown Primary Tumors|Head and Neck Cancer|Skin Cancer,DRUG: Atezolizumab,British Columbia Cancer Agency,Hoffmann-La Roche,INTERVENTIONAL
NCT05744687,Phase II/III Study of SPH4336 Combined With Letrozole vs Placebo Combined With Letrozole in First-line Treatment of Breast Cancer,https://clinicaltrials.gov/study/NCT05744687,RECRUITING,Locally Advanced or Metastatic Breast Cancer,DRUG: SPH4336 Tablets 400mg|DRUG: SPH4336 Tablets Placebo,"Shanghai Pharmaceuticals Holding Co., Ltd",,INTERVENTIONAL
NCT07016399,"Neoadjuvant Darolutamide Alone or in Combination With Standard Therapy for Stage II-IIIA, AR+, TNBC",https://clinicaltrials.gov/study/NCT07016399,RECRUITING,Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Triple-Negative Breast Carcinoma,PROCEDURE: Biospecimen Collection|PROCEDURE: Breast Biopsy Procedure|DRUG: Carboplatin|DRUG: Cyclophosphamide|DRUG: Darolutamide|DRUG: Doxorubicin|DRUG: Epirubicin|PROCEDURE: Magnetic Resonance Imaging|DRUG: Paclitaxel|BIOLOGICAL: Pembrolizumab|PROCEDURE: Surgical Procedure|PROCEDURE: Ultrasound Imaging,Vandana Abramson,National Cancer Institute (NCI),INTERVENTIONAL
NCT07191717,"Imlunestrant and Abemaciclib for the Treatment of Estrogen Receptor Positive Breast Cancer in Patients With Minimal Residual Disease, MIRI Trial",https://clinicaltrials.gov/study/NCT07191717,NOT_YET_RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Invasive Breast Carcinoma|Localized Estrogen Receptor-Positive Breast Carcinoma|Localized Human Epidermal Growth Factor Receptor (HER2)-Negative Breast Carcinoma,DRUG: Abemaciclib|PROCEDURE: Biospecimen Collection|DRUG: Imlunestrant|OTHER: Questionnaire Administration|PROCEDURE: Radiologic Imaging Procedure,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL
NCT05019690,Apatinib Combined with Albumin-Bound Paclitaxel for Treatment of Advanced Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT05019690,RECRUITING,Advanced Triple Negative Breast Cancer,DRUG: Apatinib Mesylate|DRUG: Albumin-Bound Paclitaxel,Fujian Cancer Hospital,,INTERVENTIONAL
NCT06006390,CEA Targeting Chimeric Antigen Receptor T Lymphocytes (CAR-T) in the Treatment of CEA Positive Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06006390,RECRUITING,Gastric Cancer|Colon Cancer|Rectal Cancer|Esophageal Cancer|Pancreas Cancer|Lung Cancer|Breast Cancer,BIOLOGICAL: CEA-targeted CAR-T cells|BIOLOGICAL: CEA-targeted CAR-T cells,"Chongqing Precision Biotech Co., Ltd",Shanxi Bethune Hospital,INTERVENTIONAL
NCT06764186,A Phase IIIB Study to Evaluate the Use of Capivasertib in Combination With Fulvestrant in Patients With Advanced Breast Cancer Who Have Relapsed/Progressed on ET and CDK4/6 Inhibitor Reflecting Real World Clinical Practice in Spain,https://clinicaltrials.gov/study/NCT06764186,RECRUITING,Locally Advanced or Metastatic Breast Cancer,DRUG: Fulvestrant|DRUG: Capivasertib,AstraZeneca,Apices Soluciones S.L.|SOLTI Breast Cancer Research Group,INTERVENTIONAL
NCT05735080,"Open-Label Study to Evaluate the Safety, Tolerability, PK, and Efficacy of INX-315 in Patients With Advanced Cancer",https://clinicaltrials.gov/study/NCT05735080,RECRUITING,Breast Cancer|Breast Cancer Metastatic|Hormone Receptor Positive Tumor|Human Epidermal Growth Factor 2 Negative Carcinoma of Breast|Ovarian Cancer|CCNE1 Amplification|Solid Tumor|Advanced Cancer|Metastatic Cancer,DRUG: INX-315|DRUG: Fulvestrant|DRUG: Abemaciclib,Incyclix Bio,,INTERVENTIONAL
NCT04090567,Olaparib With Cediranib or AZD6738 for the Treatment of Advanced or Metastatic Germline BRCA Mutated Breast Cancer,https://clinicaltrials.gov/study/NCT04090567,RECRUITING,Advanced Breast Carcinoma|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Germline BRCA1 Gene Mutation|Germline BRCA2 Gene Mutation|HER2/Neu Negative|Metastatic Breast Carcinoma|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Prognostic Stage IV Breast Cancer AJCC v8,DRUG: Cediranib|DRUG: Ceralasertib|DRUG: Olaparib,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT06942234,Study of JSKN016 Combination Therapy in Inoperable Locally Advanced or Metastatic HER2-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06942234,RECRUITING,Inoperable Locally Advanced HER2-Negative Breast Cancer|Metastatic HER2-Negative Breast Cancer,DRUG: JSKN016|DRUG: Capecitabine|DRUG: Paclitaxel (albumin bound)|DRUG: Eribulin|DRUG: Pembrolizumab,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",,INTERVENTIONAL
NCT06201234,Evaluating the Addition of Elacestrant (Oral SERD) to Olaparib (PARP-inhibitor) in Patients With Advanced/Metastatic HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT06201234,RECRUITING,Hormone Receptor Positive HER-2 Negative Breast Cancer|Advanced or Metastatic Breast Cancer|BRCA1 Mutation|BRCA2 Mutation,DRUG: Olaparib + Elacestrant|DRUG: Olaparib,GBG Forschungs GmbH,"Stemline Therapeutics, Inc.",INTERVENTIONAL
NCT07134556,"Phase II Trial Evaluating the Safety and Efficacy of the Combination of Zimberelimab, Domvanalimab and Sacituzumab Govitecan as 1L Therapy for PD-L1 Positive Advanced TNBC",https://clinicaltrials.gov/study/NCT07134556,NOT_YET_RECRUITING,Triple Negative Breast Cancer|PDL-1 Positive,DRUG: Zimberelimab (AB122)|DRUG: Domvanalimab (DOM)|DRUG: Sacituzumab Govitecan (SG),MedSIR,,INTERVENTIONAL
NCT06860815,Cemiplimab and Transarterial Radioembolization With Y-90 SIR-S Spheres for the Treatment of Liver Directed Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06860815,RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Breast Carcinoma|Metastatic Carcinoma in the Liver,PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|BIOLOGICAL: Cemiplimab|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|RADIATION: Transarterial Radioembolization|RADIATION: Yttrium Y 90 Resin Microspheres,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT07189884,Pyrotinib Maleate Tablets in Combination With Dalpiciclib Isethionate Tablets and Standard Endocrine Therapy,https://clinicaltrials.gov/study/NCT07189884,NOT_YET_RECRUITING,Locally Advanced Breast Cancer (LABC),DRUG: Pyrotinib Maleate Tablets + Dalpiciclib Isethionate Tablets + Standard Endocrine,The First Affiliated Hospital of Xiamen University,,INTERVENTIONAL
NCT06780748,Photo-medicine-Guided Dual Approach for Reoperation of Sentinel Lymph Nodes in Locally Recurrent Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06780748,RECRUITING,Breast Cancer|Locally Recurrent Breast Cancer|Sentinel Lymph Node Biopsy (SLNB)|Reoperation|ICG (indocyanine Green),PROCEDURE: Identification rate of sentinel lymph node,"National Cancer Center, Korea",,INTERVENTIONAL
NCT05941507,A Study to Evaluate TROP2 ADC LCB84 Single Agent and in Combination With an Anti-PD-1 Ab in Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT05941507,RECRUITING,Advanced Solid Tumors,DRUG: LCB84|DRUG: Anti-PD-1 monoclonal antibody,"LigaChem Biosciences, Inc.","AntibodyChem Biosciences, Inc.",INTERVENTIONAL
NCT05785741,A Study of DB-1310 in Advanced/Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT05785741,RECRUITING,Advanced Solid Tumor,DRUG: DB-1310|DRUG: Trastuzumab|DRUG: Osimertinib,DualityBio Inc.,,INTERVENTIONAL
NCT06395519,A Study of PARG Inhibitor ETX-19477 in Patients With Advanced Solid Malignancies,https://clinicaltrials.gov/study/NCT06395519,RECRUITING,Advanced or Metastatic Solid Tumors|Breast Cancer|Ovarian Cancer|Prostate Cancer|Epithelial Ovarian Cancer|BRCA2 Mutation|ER+ Breast Cancer|Castrate Resistant Prostate Cancer|BRCA1 Mutation|BRCA Mutation|Endometrial Cancer|Colorectal Cancer|Gastric Cancer,DRUG: ETX-19477,"858 Therapeutics, Inc.",,INTERVENTIONAL
NCT05490472,JAB-2485 Activity in Adult Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT05490472,RECRUITING,"Solid Tumors|ER+ Breast Cancer|Triple Negative Breast Cancer, TNBC|ARID1A Gene Mutation|Small Cell Lung Cancer, SCLC",DRUG: JAB-2485 (Aurora A inhibitor)|DRUG: JAB-2485 (Aurora A inhibitor),"Jacobio Pharmaceuticals Co., Ltd.",,INTERVENTIONAL
NCT06617455,"Fezolinetant for the Improvement of Vasomotor Symptoms in Breast Cancer Patients Taking Endocrine Therapy, VENT Trial",https://clinicaltrials.gov/study/NCT06617455,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Breast Ductal Carcinoma In Situ|Localized Breast Carcinoma,PROCEDURE: Biospecimen Collection|DRUG: Fezolinetant|DRUG: Placebo Administration|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration,University of Michigan Rogel Cancer Center,The Breast Cancer Research Foundation,INTERVENTIONAL
NCT06439771,"A Phase 2 Study to Evaluate the Efficacy, Safety and Pharmacokinetics of YL202 in Patients With BC",https://clinicaltrials.gov/study/NCT06439771,RECRUITING,Locally Advanced or Metastatic Breast Cancer,DRUG: YL202 should be intravenously infused,"MediLink Therapeutics (Suzhou) Co., Ltd.",,INTERVENTIONAL
NCT06042569,"Dose-Reduced Docetaxel With Cyclophosphamide for the Treatment of Vulnerable Older Women With Stage I-III HER2 Negative Breast Cancer, the DOROTHY Trial",https://clinicaltrials.gov/study/NCT06042569,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|HER2-Negative Breast Carcinoma,DRUG: Cyclophosphamide|DRUG: Docetaxel|OTHER: Medical Chart Review|OTHER: Questionnaire Administration,City of Hope Medical Center,National Cancer Institute (NCI)|Rising Tide Foundation,INTERVENTIONAL
NCT05042791,A Study of Pyrotinib Plus Capecitabine Combined With SRT in HER2+ MBC With Brain Metastases,https://clinicaltrials.gov/study/NCT05042791,RECRUITING,HER2-positive Metastatic Breast Cancer,COMBINATION_PRODUCT: radiation combined with pyrotinib and capecitabine,Jiangxi Provincial Cancer Hospital,,INTERVENTIONAL
NCT06831955,LifEStyle Intervention to Enhance Efficacy of Neoadjuvant Therapy in Patients With Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06831955,NOT_YET_RECRUITING,"Triple Negative Breast Cancer (TNBC), Early Setting",OTHER: Exercise Therapy|DIETARY_SUPPLEMENT: Fasting-Mimicking Diet|DRUG: SOC,Universitaire Ziekenhuizen KU Leuven,"KU Leuven|AZ Groeninge|Jessa Ziekenhuis Hasselt|UZ Gent, Belgium|UZ Antwerpen|Ziekenhuis ad Stroom, Antwerpen|Institute Gustave Roussy Paris|Universitair Ziekenhuis Brussel",INTERVENTIONAL
NCT04802759,A Study Evaluating the Efficacy and Safety of Multiple Treatment Combinations in Participants With Breast Cancer,https://clinicaltrials.gov/study/NCT04802759,RECRUITING,"Inoperable, Locally Advanced or Metastatic, ER-positive Breast Cancer",DRUG: Giredestrant|DRUG: Abemaciclib|DRUG: Ipatasertib|DRUG: Inavolisib|DRUG: Ribociclib|DRUG: Everolimus|DRUG: Samuraciclib|DRUG: PH FDC SC|DRUG: Palbociclib|DRUG: Atezolizumab,Hoffmann-La Roche,,INTERVENTIONAL
NCT06380816,A Phase I/II Trial of UCB4594 in Participants With Advanced Cancer,https://clinicaltrials.gov/study/NCT06380816,RECRUITING,"Advanced Solid Tumours|Squamous Cell Carcinoma of Head and Neck|Carcinoma, Non-Small-Cell Lung|Colorectal Neoplasms|Triple Negative Breast Neoplasms|Carcinoma, Renal Cell (Clear Cell Only)|Esophageal Neoplasms|Stomach Neoplasms (Excluding Gastrointestinal Stromal Tumors)|Uterine Cervical Neoplasms|Ovarian Neoplasms|Pancreatic Neoplasms",DRUG: UCB4594,Cancer Research UK,UCB Biopharma SRL,INTERVENTIONAL
NCT05256745,RAGE Inhibition to Decrease Cardiotoxicity in Women With Early Breast Cancer,https://clinicaltrials.gov/study/NCT05256745,RECRUITING,Cancer Related Cognitive Decline|Non-metastatic Breast Cancer,DRUG: TTP488|DRUG: ddAC/ddT|DRUG: TC|DRUG: TCHP|DRUG: Chemotherapy regimen that includes ddAC,Georgetown University,,INTERVENTIONAL
NCT06876714,ShortStop-HER2: 12 Months vs. 6 Months of HER2-targeted Medications for People With HER2+ Breast Cancer Who Had a Pathologic Complete Response After Chemotherapy Plus Trastuzumab,https://clinicaltrials.gov/study/NCT06876714,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Early Stage Breast Carcinoma,BIOLOGICAL: Trastuzumab (Herceptin)|BIOLOGICAL: Pertuzumab|PROCEDURE: Echocardiography|PROCEDURE: Multigated Acquisition Scan|PROCEDURE: Mammography|PROCEDURE: Ultrasound|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Biospecimen Collection|OTHER: Questionnaire Administration,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT00722228,Autologous and Allogeneic Whole Cell Cancer Vaccine for Metastatic Tumors,https://clinicaltrials.gov/study/NCT00722228,RECRUITING,Colorectal Cancer|Ovarian Cancer|Gastric Cancer|Breast Cancer|Lung Cancer|Kidney Cancer|Melanoma,BIOLOGICAL: Autologous or Allogeneic tumor cells,Hadassah Medical Organization,,INTERVENTIONAL
NCT06793332,BrAin Metastasis in TripLe Negateive Breast Cancer: IvoneScimab and Trop2 ADC,https://clinicaltrials.gov/study/NCT06793332,RECRUITING,Triple-Negative Breast Cancer (TNBC)|Brain Metastases,DRUG: Ivonescimab Combined With TROP2 ADC,Fudan University,,INTERVENTIONAL
NCT07309770,Trastuzumab Rezetecan in Advanced Solid Tumors Refractory to Standard Therapies,https://clinicaltrials.gov/study/NCT07309770,RECRUITING,Urachal Cancer|Advanced Solid Tumor Cancer|Antibody-drug Conjugates,DRUG: SHR-A1811|DRUG: Trastuzumab Rezetecan,Sheng Zhang,,INTERVENTIONAL
NCT04585750,The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE),https://clinicaltrials.gov/study/NCT04585750,RECRUITING,"Advanced Solid Tumor|Advanced Malignant Neoplasm|Metastatic Cancer|Metastatic Solid Tumor|Lung Cancer|Ovarian Cancer|Endometrial Cancer|Prostate Cancer|Colorectal Cancer|Breast Cancer|Other Cancer|Locally Advanced|Head and Neck Cancer|Gall Bladder Cancer|Small Cell Lung Cancer|Small Cell Lung Cancer ( SCLC )|Small Cell Lung Carcinoma|NSCLC|NSCLC (Non-small Cell Lung Cancer)|SCLC|Non-Small Cell Lung Carcinoma|Triple Negative Breast Cancer|TNBC|HER2+ Breast Cancer|Non-Small Cell Lung Cancer|ER/PR Positive Breast Cancer|HER2- Breast Cancer|HER2-positive Breast Cancer|HER2-negative Breast Cancer|ER/PR(+), Her2(-) Breast Cancer",DRUG: rezatapopt|DRUG: pembrolizumab,"PMV Pharmaceuticals, Inc",Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT06586866,JK-1201I in Triple Negative Breast Cancer Patients with Brain Metastases,https://clinicaltrials.gov/study/NCT06586866,NOT_YET_RECRUITING,Triple Negative Breast Cancer (TNBC)|Brain Metastasases,DRUG: JK-1201I,"JenKem Technology Co., Ltd.",,INTERVENTIONAL
NCT06199895,"Clinical Efficacy and Safety of Paclitaxel Polymeric Micelles for Injection in the Treatment of Patients With Taxans-resistant Pancreatic Adenocarcinoma, Cholangiocarcinoma, Lung Cancer, Gastric Cancer, Esophageal Carcinoma, or Breast Cancer",https://clinicaltrials.gov/study/NCT06199895,RECRUITING,Pancreatic Adenocarcinoma|Cholangiocarcinoma|Lung Cancer|Stomach Cancer|Esophageal Carcinoma|Breast Cancer,DRUG: Paclitaxel Polymeric Micelles for Injection,Liu Huang,,INTERVENTIONAL
NCT06910072,Paclitaxel Polymeric Micelles and Carboplatin in Combination With Iparomilimab and Tuvonralimab Neoadjuvant Therapy for Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06910072,NOT_YET_RECRUITING,Triple-Negative Breast Cancer (TNBC)|Neoadjuvant Therapy,DRUG: paclitaxel polymeric micelles + carboplatin + iparomilimab and tuvonralimab,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,INTERVENTIONAL
NCT05575804,GQ1001 Combined With Pyrotinib for Treatment With HER2 Positive Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05575804,RECRUITING,Advanced/ Metastatic Her-2 Positive Breast Cancer,DRUG: GQ1001+pyrotinib|DRUG: pyrotinib+capecitabine,Fudan University,"GeneQuantum Healthcare (Suzhou) Co., Ltd.",INTERVENTIONAL
NCT05440227,PG2 Injection for the Treatment of moderate-to Severe Fatigue in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT05440227,RECRUITING,Cancer-related Fatigue,DRUG: PG2 Lyo. Injection 500mg|DRUG: Placebo 0.9% normal saline,PhytoHealth Corporation,,INTERVENTIONAL
NCT06340230,SHR-A1811 Alone or in Combination With Adebrelimab as Neoadjuvant Treatment in HR Positive/HER2 Low Breast Cancer,https://clinicaltrials.gov/study/NCT06340230,RECRUITING,HR Positive/HER2 Low Breast Cancer,DRUG: SHR-A1811 Injection + Adebrelimab Injection|DRUG: SHR-A1811 Injection + Adebrelimab Injection|DRUG: SHR-A1811 Injection,Shengjing Hospital,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT07190443,"Adjuvant Abemaciclib for Locoregional Recurrence of HR-positive, HER2-negative Breast Cancer (JCOG2313, AURA)",https://clinicaltrials.gov/study/NCT07190443,RECRUITING,Breast Cancer|Locoregional Recurrence|Abemaciclib|Endocrine Therapy,"DRUG: Endocrine therapy + Abemaciclib|DRUG: Endocrine Therapy (ET): letrozole, anastrozole, exemestane, tamoxifen",Japanese Foundation for Cancer Research,Japan Clinical Oncology Group,INTERVENTIONAL
NCT05929768,Shorter Chemo-Immunotherapy Without Anthracycline Drugs for Early-Stage Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT05929768,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Early Stage Triple-Negative Breast Carcinoma,PROCEDURE: Biospecimen Collection|DRUG: Carboplatin|DRUG: Cyclophosphamide|DRUG: Docetaxel|DRUG: Doxorubicin|DRUG: Paclitaxel|BIOLOGICAL: Pembrolizumab|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration|PROCEDURE: Surgical Procedure,SWOG Cancer Research Network,National Cancer Institute (NCI),INTERVENTIONAL
NCT04923542,Stereotactic Radiation & Abemaciclib in the Management of HR+/HER2- Breast Cancer Brain Metastases,https://clinicaltrials.gov/study/NCT04923542,RECRUITING,Brain Metastases|HR+ Metastatic Breast Cancer,RADIATION: Stereotactic Radiosurgery (SRS)|DRUG: Abemaciclib|DRUG: Endocrine therapy,H. Lee Moffitt Cancer Center and Research Institute,Eli Lilly and Company,INTERVENTIONAL
NCT06950086,Study of TYK-00540 Tablets in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06950086,RECRUITING,"HR-positive, HER2-negative Advanced Breast Cancer",DRUG: TYK-00540,"TYK Medicines, Inc",,INTERVENTIONAL
NCT06330064,A Study To Evaluate The Efficacy And Safety Of Ifinatamab Deruxtecan (I-DXd) In Subjects With Recurrent Or Metastatic Solid Tumors (IDeate-PanTumor02),https://clinicaltrials.gov/study/NCT06330064,RECRUITING,Recurrent or Metastatic Solid Tumors,DRUG: Ifinatamab deruxtecan,Daiichi Sankyo,Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT06113016,Prevention of Frailty With Fisetin and Exercise in Breast Cancer Survivors,https://clinicaltrials.gov/study/NCT06113016,RECRUITING,Anatomic Stage I Breast Cancer American Joint Committee on Cancer (AJCC) v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Early Stage Breast Carcinoma,PROCEDURE: Biospecimen Collection|OTHER: Educational Intervention|OTHER: Exercise Intervention|DRUG: Fisetin|OTHER: Physical Performance Testing|DRUG: Placebo Administration|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration,Jonsson Comprehensive Cancer Center,National Institutes of Health (NIH)|National Cancer Institute (NCI)|Rising Tide Foundation,INTERVENTIONAL
NCT06038539,Efficacy and Safety of the Proposed Biosimilar Pertuzumab (PERT-IJS) Versus EU-Perjeta® Along With Trastuzumab and Chemotherapy (Carboplatin and Docetaxel) as Neoadjuvant Treatment in Chemotherapy naïve Patients With Early Stage or Locally Advanced HR Negative and HER2 Positive Breast Cancer,https://clinicaltrials.gov/study/NCT06038539,RECRUITING,HR Negative HER2 Positive Early Breast Cancer or Locally Advanced Breast Cancer Patients,"BIOLOGICAL: PERT-IJS plus trastuzumab, carboplatin and docetaxel|BIOLOGICAL: Perjeta plus trastuzumab, carboplatin and docetaxel",Biocon Biologics UK Ltd,,INTERVENTIONAL
NCT07287917,Study of AMXT 1501 and DFMO in Combination With Standard Therapies in Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT07287917,RECRUITING,Melanoma (Skin Cancer)|HER2-low Hormone Receptor Positive Breast Cancer,DRUG: AMXT 1501 Dicaprate|DRUG: DFMO|DRUG: Fulvestrant|DRUG: Capivasertib|DRUG: Pembrolizumab,"Aminex Therapeutics, Inc.",,INTERVENTIONAL
