NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06954831,Ultra-hypofractionated Whole Breast Irradiation With Lumpectomy Cavity Boost for the Treatment of Stage I-III Breast Cancer,https://clinicaltrials.gov/study/NCT06954831,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Breast Carcinoma,PROCEDURE: Cone-Beam Computed Tomography|RADIATION: Hypofractionated External Beam Radiation Therapy|OTHER: Questionnaire Administration|RADIATION: Radiation Boost|RADIATION: Whole Breast Irradiation,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT05862064,"A Multi-center, Randomized, Open-label, Phase III Study Comparing PD-1 Inhibitor Combined With Antivascular Therapy and Anthracycline/Taxane-based Adjuvant Chemotherapy Versus Anthracycline/Taxane-based Adjuvant Chemotherapy Alone in Patients With Operable Triple-negative Breast Cancer",https://clinicaltrials.gov/study/NCT05862064,RECRUITING,TNBC - Triple-Negative Breast Cancer,"DRUG: epirubicin,cyclophosphamide,paclitaxel,Carrelizumab|DRUG: epirubicin,cyclophosphamide,paclitaxel",Fudan University,,INTERVENTIONAL
NCT06880029,Circadian Rhythm Impact on TNBC Response to Neoadjuvant Immunotherapy,https://clinicaltrials.gov/study/NCT06880029,RECRUITING,Triple Negative Breast Cancer (TNBC),OTHER: Morning pembrolizumab infusions,"Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.",,INTERVENTIONAL
NCT07078604,A Cancer Vaccine (STEMVAC) in Combination With Chemotherapy for the Treatment of PD-L1 Negative Metastatic Triple-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT07078604,NOT_YET_RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma,BIOLOGICAL: CD105/Yb-1/SOX2/CDH3/MDM2-polyepitope Plasmid DNA Vaccine|DRUG: Cisplatin|PROCEDURE: Computed Tomography|PROCEDURE: Computed Tomography Assisted Biopsy|DRUG: Docetaxel|DRUG: Doxorubicin|DRUG: Eribulin|DRUG: Paclitaxel|DRUG: Pegylated Liposomal Doxorubicin Hydrochloride|BIOLOGICAL: Sargramostim|PROCEDURE: Ultrasound-Guided Biopsy|PROCEDURE: Biospecimen Collection|DRUG: Carboplatin|PROCEDURE: Positron Emission Tomography (PET),University of Washington,Kuni Foundation,INTERVENTIONAL
NCT06636981,"All Trans Retinoic Acid Combined with Toripalimab+Chemotherapy for Locally Advanced Inoperable or Metastatic Triple Negative Breast Cancer：a Multi-center, Multi-cohort Phase II Trial",https://clinicaltrials.gov/study/NCT06636981,RECRUITING,Triple Negative Breast Cancer (TNBC),DRUG: Cohort2: ATRA+Toripalimab+TPC|DRUG: Cohort1: ATRA+Toripalimab+chemo,Fudan University,,INTERVENTIONAL
NCT06786026,QL1706 Plus Chemotherapy +/- Bevacizumab in 1L Treatment of R/mTNBC,https://clinicaltrials.gov/study/NCT06786026,RECRUITING,"TNBC, Triple Negative Breast Cancer",DRUG: bevacizumab|DRUG: QL1706|DRUG: Nab paclitaxel,Fudan University,,INTERVENTIONAL
NCT04333706,"A Dose Finding Phase 1 of Sarilumab Plus Capecitabine in HER2/Neu-Negative Metastatic Breast Cancer and a Single-arm, Historically-controlled Phase 2 Study of Sarilumab Plus Capecitabine in Stage I-III Triple Negative Breast Cancer With High-Risk Residual Disease (EMPOWER)",https://clinicaltrials.gov/study/NCT04333706,RECRUITING,Breast|Metastatic|Triple Negative|Cancer|Disseminated Tumor Cell,DRUG: Capecitabine|COMBINATION_PRODUCT: Sarilumab 150mg or 200 mg plus Capecitabine|COMBINATION_PRODUCT: Sarilumab 150mg plus Capecitabine,University of Southern California,National Cancer Institute (NCI),INTERVENTIONAL
NCT06963905,Saci Nivo Rela for TNBC,https://clinicaltrials.gov/study/NCT06963905,RECRUITING,Metastatic Triple-negative Breast Cancer,DRUG: Relatlimab FDC + Nivolumab|DRUG: Sacituzumab Govitecan (SG)|DRUG: Nivolumab,Yale University,Bristol-Myers Squibb,INTERVENTIONAL
NCT06058377,"Adding an Immunotherapy Drug, MEDI4736 (Durvalumab), to the Usual Chemotherapy Treatment (Paclitaxel, Cyclophosphamide, and Doxorubicin) for Stage II-III Breast Cancer",https://clinicaltrials.gov/study/NCT06058377,RECRUITING,Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|HER2-Negative Breast Carcinoma|Hormone Receptor-Positive Breast Carcinoma,PROCEDURE: Biospecimen Collection|DRUG: Cyclophosphamide|DRUG: Doxorubicin|BIOLOGICAL: Durvalumab|OTHER: Genetic Testing|PROCEDURE: Mammography|DRUG: Paclitaxel|OTHER: Quality-of-Life Assessment,National Cancer Institute (NCI),,INTERVENTIONAL
NCT05388500,Protocol for Herceptin as Adjuvant Therapy With Reduced Exposure to Chemotherapy (PHARE-C),https://clinicaltrials.gov/study/NCT05388500,NOT_YET_RECRUITING,HER2-positive Breast Cancer,DRUG: Paclitaxel + Trastuzumab|DRUG: Trastuzumab,Institut de cancérologie Strasbourg Europe,,INTERVENTIONAL
NCT06492759,High Dose Radiation Therapy With Pembrolizumab and Chemotherapy for the Treatment of Patients With PD-L1 Positive Metastatic Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06492759,NOT_YET_RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma,RADIATION: Radiation Therapy|BIOLOGICAL: Pembrolizumab|DRUG: Nab-paclitaxel|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: Gemcitabine|PROCEDURE: Biopsy|PROCEDURE: Computed Tomography|PROCEDURE: Bone Scan|PROCEDURE: Biospecimen Collection|OTHER: Medical Chart Review,Emory University,National Cancer Institute (NCI),INTERVENTIONAL
NCT03449238,Pembrolizumab And Stereotactic Radiosurgery (Srs) Of Selected Brain Metastases In Breast Cancer Patients,https://clinicaltrials.gov/study/NCT03449238,RECRUITING,Metastatic Breast Cancer|Brain Metastases,DRUG: Pembrolizumab,Weill Medical College of Cornell University,Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT07101159,Dalpiciclib as Adjuvant Therapy for HR-positive/HER2-negative Early-stage Patients,https://clinicaltrials.gov/study/NCT07101159,NOT_YET_RECRUITING,Early Breast Cancer|Adjuvant Therapy|Hormone Receptor Positive / HER2-negative Breast Cancer,"DRUG: Dalpiciclib|DRUG: Endocrine Therapy (Tamoxifen, Anastrozol, Letrozole, Exemestane)|DRUG: Dalpiciclib",Fujian Cancer Hospital,,INTERVENTIONAL
NCT06044623,Implementing Geriatric Assessment for Dose Optimization of Cyclin-dependent Kinase (CDK) 4/6-inhibitors in Older Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06044623,RECRUITING,Metastatic Breast Cancer|Advanced Breast Cancer|Quality of Life|Toxicity|Older Patients,DRUG: CDK 4/6 inhibitors|DRUG: Endocrine therapy,Region Örebro County,"University of Patras|University of Florence|Azienda USL Toscana Centro|Helsinki University Central Hospital|Institute for Medical Technology Assessment - the Netherlands|Security Labs Consulting Limited|Circular Economy Foundation|Universidad Nacional de Educación a Distancia|Hellenic Cooperative Oncology Group|University Hospital, Akershus|Uppsala County Council, Sweden|Hospital Clinic of Barcelona|Phaze Clinical Research & Pharma Consulting|Bröstcancerförbundet|Eunomia Ltd|University of Applied Sciences and Arts Northwestern Switzerland|CareAcross|Örebro University, Sweden",INTERVENTIONAL
